listing_id,business_name,dba_name,street_address,city,state,zip_code,county,full_address,asking_price,asking_price_numeric,gross_revenue,gross_revenue_numeric,net_income,net_income_numeric,cash_flow,ebitda,monthly_revenue,monthly_expenses,square_footage,building_owned_or_leased,monthly_rent,lease_terms,lease_expiration,real_estate_included,property_type,number_of_washers,number_of_dryers,washer_brands,dryer_brands,equipment_age,equipment_condition,recent_upgrades,card_system,additional_equipment,years_established,hours_of_operation,employees,owner_involvement,business_type,services_offered,demographics,competition,growth_potential,reason_for_sale,listing_date,days_on_market,source_platform,source_url,listing_status,last_updated,broker_name,broker_company,broker_phone,broker_email,contact_method,description,highlights,photos_available,financing_available,seller_financing,training_included,verified,verification_date,data_completeness_score,price_to_revenue_multiple,price_to_earnings_multiple,estimated_roi_percent,payback_period_years,profit_margin_percent,estimated_revenue_from_equipment,market_population_density,market_maturity,market_competition_level,inferred_hours,inferred_owner_involvement,value_assessment,enhanced_completeness_score
FB-TX-001,Dallas Laundromat,,Dallas area,Dallas,TX,,,"Dallas, TX","$210,000",210000.0,,0.0,,0.0,,,,,,,,,,No,,,,,,,"Most machines new, good condition",,,,,,,,,,,,,,2025,,Facebook Marketplace,,Active,,,,,,,Laundromat with mostly new machines in good condition,"New equipment, Dallas market",No,,,,True,2025-10-31,0.45,,,,,,,Medium-High,Growing,Medium,6 AM - 10 PM daily (typical),Variable (depends on operation),New equipment (low capex),0.3
FB-NY-001,Sound Beach Laundromat & Property,,Sound Beach,Sound Beach,NY,,Suffolk County,"Sound Beach, NY (Long Island)","$1,395,000",1395000.0,,0.0,"$168,000/year",168000.0,,,,,,,,,,Yes,Laundromat + Real Estate,,,,,,,,,,,,,,,,,,,,2025,,Facebook/Pesce Commercial,,Active,,Chris Pesce,Pesce Commercial,,,,"Laundromat and property for sale, nets $168K per year","Includes real estate, strong net income $168K/year, Long Island location",No,Yes,,,True,2025-10-31,0.65,,8.3,12.0,8.3,,,Very High,Mature,High,6 AM - 10 PM daily (typical),Variable (depends on operation),Moderate ROI (<12%); Long payback (>6 years); Includes real estate (asset value),0.43
FB-MO-001,Springfield Laundromat,,Springfield area,Springfield,MO,,,"Springfield, MO",,0.0,,0.0,,0.0,,,,,"1,400 sq ft",,,,,Yes,,,,,,,,,,,,,,,Fully operational coin laundromat,,,,,,2025,,Facebook Marketplace,,Active,,,,,,,"Fully operational 1,400 square foot coin laundromat, includes real estate","Includes building, turnkey operation",No,,,,True,2025-10-31,0.45,,,,,,,Medium,Mature,Medium,6 AM - 10 PM daily (typical),Low (self-service operation),Includes real estate (asset value),0.3
FB-TX-002,Bertram Self-Serve Laundromat,,Bertram area,Bertram,TX,,,"Bertram, TX",,0.0,,0.0,,0.0,,,,,,Leased,,,,No,,,,,,,,,,,,,,,"Self-serve, rent space model",,,,,,2025,,Facebook Marketplace,,Active,,,,,,,"Self-serve laundromat business, rent the space and purchase established business",,No,,,,True,2025-10-31,0.35,,,,,,,Medium-High,Growing,Medium,6 AM - 10 PM daily (typical),Low (self-service operation),Insufficient data for valuation,0.27
PORT-TN-001,Memphis Laundromat Portfolio (9 Locations),,Multiple locations,Memphis,TN,,,"Memphis, TN - 9 locations",Not Listed,0.0,$3.3M trending for 2025,3300000.0,,0.0,,,,,,,,,,No,,Multiple locations,,,,Less than 1 year old,Most equipment less than 1 year old,,,,,,,,Portfolio of 9 laundromats,,,,,,2025,,BizQuest,,Active,,,,,,,"Portfolio of 9 laundromats in Memphis, TN with 2025 sales trending towards $3.3M revenue, most equipment less than 1 year old","9 locations, $3.3M revenue, new equipment, portfolio opportunity",No,,,,True,2025-10-31,0.6,,,,,,,Medium,Growing,Low-Medium,6 AM - 10 PM daily (typical),Variable (depends on operation),Insufficient data for valuation,0.35
SPEC-TN-001,Knoxville Laundromat,,Knoxville area,Knoxville,TN,,,"Knoxville, TN",,0.0,,0.0,,0.0,,,,,,,,,,No,,,,,,,,,,,,,,,Well established coin laundry,,,,,Health reasons,2025,,LaundromatsForSale.com,,Active,,,,,,,Well established coin laundry for sale due to health reasons,,No,,,,True,2025-10-31,0.3,,,,,,,Medium,Growing,Low-Medium,6 AM - 10 PM daily (typical),Low (self-service operation),Insufficient data for valuation,0.27
SUNB-OH-001,Cleveland Coinless Laundromat,,Cleveland area,Cleveland,OH,,,"Cleveland, OH","Down payment $350,000",0.0,"$342,000/year",342000.0,,0.0,,,,,,,,,,No,,,,,,,,,Coinless (card system),,,,,,,,,,,,2025,,Sunbelt Network,,Active,,,,,,,"Coinless laundromat making $342,000/year, seller financing available with $350K down","Card system, strong revenue, seller financing",No,Yes,Yes - $350K down,,True,2025-10-31,0.55,,,,,,,Medium,Mature,Medium,6 AM - 10 PM daily (typical),Variable (depends on operation),Insufficient data for valuation,0.34
AK-001,Homer Alaska Laundromat,,Homer,Homer,AK,,,"Homer, AK",,0.0,,0.0,,0.0,,,,,,,,,,Yes,"Land, building, business, all equipment",37,33,,,,,,,,35+ years,,,,,"Coin laundry, wash-dry-fold, dry cleaning pickup/dropoff, showers",,,,,2025,,BusinessMart,,Active,,,,,,wht6mtn@gmail.com,"35+ year established laundromat in Homer, Alaska with 37 washers, 33 dryers, includes land, building, business and all equipment. Services: coin laundry, wash-dry-fold, dry cleaning pickup/dropoff, showers","Alaska location, 35+ years established, includes real estate, multiple services",No,,,,True,2025-10-31,0.7,,,,,,148000,Very Low,Established,Low,6 AM - 10 PM daily (typical),Variable (depends on operation),Includes real estate (asset value); Established business (stable),0.36
WY-001,Cheyenne Laundromat & Salon,,900 W. Lincolnway,Cheyenne,WY,82001,,"900 W. Lincolnway, Cheyenne, WY 82001",,0.0,,0.0,,0.0,,,,,720 sq ft retail space (salon),,,,,Yes (lot included),Building + lot,42,26,,,,,,,Various laundry equipment,70 years,,,,,Laundromat + retail space (currently salon),,,,,2025,,Multiple,,Active,,Paula,,307-331-7285,,,"Laundromat in business for 70 years with 42 washers, 26 dryers, various equipment. Includes 720 sq ft retail space currently set up as salon with separate entrance. Lot included in sale.","70 years in business, includes building + lot, dual income (laundry + salon rental)",No,,,,True,2025-10-31,0.75,,,,,,168000,Very Low,Established,Very Low,6 AM - 10 PM daily (typical),Variable (depends on operation),Established business (stable),0.42
CREXI-CA-001,Pearl Senter Laundromat,,2266 Senter Road,San Jose,CA,,,"2266 Senter Road, San Jose, CA",,0.0,,0.0,,0.0,,,,,,,,,,No,Commercial laundromat property,,,,,,,,,,,,,,,,"Busy area across from Costco, surrounded by high-density apartments",,,,2025,,Crexi,,Active,,,,,,,"Laundromat in busy area across from Costco, surrounded by high-density apartments","High-traffic location, Costco proximity, dense residential area",No,,,,True,2025-10-31,0.45,,,,,,,High,Mature,High,6 AM - 10 PM daily (typical),Variable (depends on operation),Insufficient data for valuation,0.29
CREXI-SC-001,Greenville Laundromat,,Greenville area,Greenville,SC,,,"Greenville, SC",,0.0,,0.0,,0.0,,,,,,,,,,No,,,,Continental,Continental,,Commercial grade,,,,,,,,,,,,,,2025,,Crexi,,Active,,,,,,,Established laundromat with Continental commercial washers and dryers,,No,,,,True,2025-10-31,0.35,,,,,,,Medium,Growing,Low-Medium,6 AM - 10 PM daily (typical),Variable (depends on operation),Insufficient data for valuation,0.29
CREXI-GA-001,Eastman Laundromat,,204 Griffin Ave,Eastman,GA,31023,,"204 Griffin Ave, Eastman, GA 31023",,0.0,,0.0,,0.0,,,,,"3,200 SF",,,,,Yes,0.27 acre,,,,,,,,,,,,,,,,Near one of busiest intersections in town,,,,2025,,Crexi,,Active,,,,,,,"±3,200 SF established laundromat on 0.27 acre near one of the busiest intersections in town","Prime location, includes land, high traffic area",No,,,,True,2025-10-31,0.5,,,,,,,Medium,Growing,Medium,6 AM - 10 PM daily (typical),Variable (depends on operation),Includes real estate (asset value),0.32
CREXI-PA-001,Reading Laundromat Package (4 Locations),,Multiple locations,Reading,PA,,,"Reading, PA - 4 locations",,0.0,,0.0,,0.0,,,,,,,,,,No,,,,,,,,,,,,,,,Package deal - 4 laundromat locations,,,,,,2025,,Crexi,,Active,,,,,,,"Package deal of 4 laundromat locations in Reading, PA","Portfolio opportunity, 4 locations, single purchase",No,,,,True,2025-10-31,0.35,,,,,,,Medium-High,Mature,Medium,6 AM - 10 PM daily (typical),Variable (depends on operation),Insufficient data for valuation,0.27
CREXI-PA-002,Philadelphia Laundromat Portfolio (3 Locations),,5650 Rising Sun Ave + 2 others,Philadelphia,PA,19120,,"5650 Rising Sun Ave, Philadelphia, PA 19120 + 2 other locations",,0.0,,0.0,,0.0,,,,,,,,,,No,,,,,,,,,,,,,,,Portfolio of 3 laundromats,,,,,,2025,,Crexi,,Active,,,,,,,Portfolio of three laundromats for sale in Philadelphia,"3 locations, Philadelphia market, portfolio deal",No,,,,True,2025-10-31,0.4,,,,,,,Medium-High,Mature,Medium,6 AM - 10 PM daily (typical),Variable (depends on operation),Insufficient data for valuation,0.29
CREXI-WA-001,Lake Chelan 24-Hour Laundromat,,84 Wapato Way,Manson,WA,,,"84 Wapato Way, Manson, WA (Lake Chelan area)",,0.0,"$60,000/year",60000.0,,0.0,,,,,,,,,,No,,,,,,,,,,,,24 hours,,,"Self-service, 24-hour",,,,,,2025,,Crexi,,Active,,,,,,,"24-hour self-service laundromat generating $60K annually, seller financing available","24-hour operation, $60K revenue, seller financing, tourist area",No,Yes,Yes,,True,2025-10-31,0.6,,,,,,,Medium-High,Mature,Medium,24 hours,Variable (depends on operation),Insufficient data for valuation,0.34
